sample,mean_COI,median_COI,sd_COI,Quartile_0.025,Quartile_0.975,,region,country
PA0384-C,1,1,0,1,1,Ploidy2,West Africa,The Gambia
PA0386-C,1,1,0,1,1,Ploidy2,West Africa,The Gambia
PA0387-C,1,1,0,1,1,Ploidy2,West Africa,The Gambia
PA0388-C,1,1,0,1,1,Ploidy2,West Africa,The Gambia
PA0389-C,1,1,0,1,1,Ploidy2,West Africa,The Gambia
PA0391-C,1,1,0,1,1,Ploidy2,West Africa,The Gambia
PA0392-C,1,1,0,1,1,Ploidy2,West Africa,The Gambia
PA0393-C,1,1,0,1,1,Ploidy2,West Africa,The Gambia
PA0394-C,2,2,0.20296,1,2,Ploidy2,West Africa,The Gambia
PA0395-C,1,1,0,1,1,Ploidy2,West Africa,The Gambia
PA0396-C,1,1,0,1,1,Ploidy2,West Africa,The Gambia
PA0397-C,2,2,0,2,2,Ploidy2,West Africa,The Gambia
PA0398-C,1,1,0,1,1,Ploidy2,West Africa,The Gambia
PA0399-C,3,3,0,3,3,Ploidy2,West Africa,The Gambia
PA0400-C,1,1,0,1,1,Ploidy2,West Africa,The Gambia
PA0401-C,1,1,0,1,1,Ploidy2,West Africa,The Gambia
PA0402-C,1,1,0,1,1,Ploidy2,West Africa,The Gambia
PA0403-C,1,1,0,1,1,Ploidy2,West Africa,The Gambia
PA0404-C,3,3,0,3,3,Ploidy2,West Africa,The Gambia
PA0405-C,1,1,0,1,1,Ploidy2,West Africa,The Gambia
PA0406-C,1,1,0,1,1,Ploidy2,West Africa,The Gambia
PA0407-C,1,1,0,1,1,Ploidy2,West Africa,The Gambia
PA0409-C,1,1,0,1,1,Ploidy2,West Africa,The Gambia
